"OrderID","CustomerID","EmployeeID","OrderDate","RequiredDate","ShippedDate","ShipVia","Freight","ShipName","ShipAddress","ShipCity","ShipRegion","ShipPostalCode","ShipCountry"
"10278","BERGS","8","1996-08-12","1996-09-09","1996-08-16","2","92.69","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Sweden"
"10279","LEHMS","8","1996-08-13","1996-09-10","1996-08-16","2","25.83","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Germany"
"10280","BERGS","2","1996-08-14","1996-09-11","1996-09-12","1","8.98","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Sweden"
"10281","ROMEY","4","1996-08-14","1996-08-28","1996-08-21","1","2.94","Romero y tomillo","Gran Vía, 1","Madrid","","28001","Spain"
"10282","ROMEY","4","1996-08-15","1996-09-12","1996-08-21","1","12.69","Romero y tomillo","Gran Vía, 1","Madrid","","28001","Spain"
"10283","LILAS","3","1996-08-16","1996-09-13","1996-08-23","3","84.81","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"10284","LEHMS","4","1996-08-19","1996-09-16","1996-08-27","1","76.56","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Germany"
"10285","QUICK","1","1996-08-20","1996-09-17","1996-08-26","2","76.83","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"10286","QUICK","8","1996-08-21","1996-09-18","1996-08-30","3","229.24","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"10287","RICAR","8","1996-08-22","1996-09-19","1996-08-28","3","12.76","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brazil"
"10288","REGGC","4","1996-08-23","1996-09-20","1996-09-03","1","7.45","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","","42100","Italy"
"10289","BSBEV","7","1996-08-26","1996-09-23","1996-08-28","3","22.77","B's Beverages","Fauntleroy Circus","London","","EC2 5NT","UK"
"10290","COMMI","8","1996-08-27","1996-09-24","1996-09-03","1","79.7","Comércio Mineiro","Av. dos Lusíadas, 23","Sao Paulo","SP","05432-043","Brazil"
"10291","QUEDE","6","1996-08-27","1996-09-24","1996-09-04","2","6.4","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil"
"10292","TRADH","1","1996-08-28","1996-09-25","1996-09-02","2","1.35","Tradiçao Hipermercados","Av. Inês de Castro, 414","Sao Paulo","SP","05634-030","Brazil"
"10293","TORTU","1","1996-08-29","1996-09-26","1996-09-11","3","21.18","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","05033","Mexico"
"10294","RATTC","4","1996-08-30","1996-09-27","1996-09-05","2","147.26","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"10295","VINET","2","1996-09-02","1996-09-30","1996-09-10","2","1.15","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","","51100","France"
"10296","LILAS","6","1996-09-03","1996-10-01","1996-09-11","1","0.12","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"10297","BLONP","5","1996-09-04","1996-10-16","1996-09-10","2","5.74","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"10298","HUNGO","6","1996-09-05","1996-10-03","1996-09-11","2","168.22","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Ireland"
"10299","RICAR","4","1996-09-06","1996-10-04","1996-09-13","2","29.76","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brazil"
"10300","MAGAA","2","1996-09-09","1996-10-07","1996-09-18","2","17.68","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","","24100","Italy"
"10301","WANDK","8","1996-09-09","1996-10-07","1996-09-17","2","45.08","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Germany"
"10302","SUPRD","4","1996-09-10","1996-10-08","1996-10-09","2","6.27","Suprêmes délices","Boulevard Tirou, 255","Charleroi","","B-6000","Belgium"
"10303","GODOS","7","1996-09-11","1996-10-09","1996-09-18","2","107.83","Godos Cocina Típica","C/ Romero, 33","Sevilla","","41101","Spain"
"10304","TORTU","1","1996-09-12","1996-10-10","1996-09-17","2","63.79","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","05033","Mexico"
"10305","OLDWO","8","1996-09-13","1996-10-11","1996-10-09","3","257.62","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","USA"
"10306","ROMEY","1","1996-09-16","1996-10-14","1996-09-23","3","7.56","Romero y tomillo","Gran Vía, 1","Madrid","","28001","Spain"
"10307","LONEP","2","1996-09-17","1996-10-15","1996-09-25","2","0.56","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","USA"
"10308","ANATR","7","1996-09-18","1996-10-16","1996-09-24","3","1.61","Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.","","05021","Mexico"
"10309","HUNGO","3","1996-09-19","1996-10-17","1996-10-23","1","47.3","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Ireland"
"10310","THEBI","8","1996-09-20","1996-10-18","1996-09-27","2","17.52","The Big Cheese","89 Jefferson Way Suite 2","Portland","OR","97201","USA"
"10311","DUMON","1","1996-09-20","1996-10-04","1996-09-26","3","24.69","Du monde entier","67, rue des Cinquante Otages","Nantes","","44000","France"
"10312","WANDK","2","1996-09-23","1996-10-21","1996-10-03","2","40.26","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Germany"
"10313","QUICK","2","1996-09-24","1996-10-22","1996-10-04","2","1.96","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"10314","RATTC","1","1996-09-25","1996-10-23","1996-10-04","2","74.16","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"10315","ISLAT","4","1996-09-26","1996-10-24","1996-10-03","2","41.76","Island Trading","Garden House Crowther Way","Cowes","Isle of Wight","PO31 7PJ","UK"
"10316","RATTC","1","1996-09-27","1996-10-25","1996-10-08","3","150.15","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"10317","LONEP","6","1996-09-30","1996-10-28","1996-10-10","1","12.69","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","USA"
"10318","ISLAT","8","1996-10-01","1996-10-29","1996-10-04","2","4.73","Island Trading","Garden House Crowther Way","Cowes","Isle of Wight","PO31 7PJ","UK"
"10319","TORTU","7","1996-10-02","1996-10-30","1996-10-11","3","64.5","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","05033","Mexico"
"10320","WARTH","5","1996-10-03","1996-10-17","1996-10-18","3","34.57","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland"
"10321","ISLAT","3","1996-10-03","1996-10-31","1996-10-11","2","3.43","Island Trading","Garden House Crowther Way","Cowes","Isle of Wight","PO31 7PJ","UK"
"10322","PERIC","7","1996-10-04","1996-11-01","1996-10-23","3","0.4","Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.","","05033","Mexico"
"10323","KOENE","4","1996-10-07","1996-11-04","1996-10-14","1","4.88","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Germany"
"10324","SAVEA","9","1996-10-08","1996-11-05","1996-10-10","1","214.27","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
"10325","KOENE","1","1996-10-09","1996-10-23","1996-10-14","3","64.86","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Germany"
"10326","BOLID","4","1996-10-10","1996-11-07","1996-10-14","2","77.92","Bólido Comidas preparadas","C/ Araquil, 67","Madrid","","28023","Spain"
"10327","FOLKO","2","1996-10-11","1996-11-08","1996-10-14","1","63.36","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Sweden"
"10328","FURIB","4","1996-10-14","1996-11-11","1996-10-17","3","87.03","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Lisboa","","1675","Portugal"
"10329","SPLIR","4","1996-10-15","1996-11-26","1996-10-23","2","191.67","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
"10330","LILAS","3","1996-10-16","1996-11-13","1996-10-28","1","12.75","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"10331","BONAP","9","1996-10-16","1996-11-27","1996-10-21","1","10.19","Bon app'","12, rue des Bouchers","Marseille","","13008","France"
"10332","MEREP","3","1996-10-17","1996-11-28","1996-10-21","2","52.84","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"10333","WARTH","5","1996-10-18","1996-11-15","1996-10-25","3","0.59","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland"
"10334","VICTE","8","1996-10-21","1996-11-18","1996-10-28","2","8.56","Victuailles en stock","2, rue du Commerce","Lyon","","69004","France"
"10335","HUNGO","7","1996-10-22","1996-11-19","1996-10-24","2","42.11","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Ireland"
"10336","PRINI","7","1996-10-23","1996-11-20","1996-10-25","2","15.51","Princesa Isabel Vinhos","Estrada da saúde n. 58","Lisboa","","1756","Portugal"
"10337","FRANK","4","1996-10-24","1996-11-21","1996-10-29","3","108.26","Frankenversand","Berliner Platz 43","München","","80805","Germany"
"10338","OLDWO","4","1996-10-25","1996-11-22","1996-10-29","3","84.21","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","USA"
"10339","MEREP","2","1996-10-28","1996-11-25","1996-11-04","2","15.66","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"10340","BONAP","1","1996-10-29","1996-11-26","1996-11-08","3","166.31","Bon app'","12, rue des Bouchers","Marseille","","13008","France"
"10341","SIMOB","7","1996-10-29","1996-11-26","1996-11-05","3","26.78","Simons bistro","Vinbæltet 34","Kobenhavn","","1734","Denmark"
"10342","FRANK","4","1996-10-30","1996-11-13","1996-11-04","2","54.83","Frankenversand","Berliner Platz 43","München","","80805","Germany"
"10343","LEHMS","4","1996-10-31","1996-11-28","1996-11-06","1","110.37","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Germany"
"10344","WHITC","4","1996-11-01","1996-11-29","1996-11-05","2","23.29","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
"10345","QUICK","2","1996-11-04","1996-12-02","1996-11-11","2","249.06","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"10346","RATTC","3","1996-11-05","1996-12-17","1996-11-08","3","142.08","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"10347","FAMIA","4","1996-11-06","1996-12-04","1996-11-08","3","3.1","Familia Arquibaldo","Rua Orós, 92","Sao Paulo","SP","05442-030","Brazil"
