ingreso,carrera,idalumno,sexo,semestre,materias_cargadas,reprobadas,promedio,por_cursar,periodo
2013,Sistemas,13170008,M,7,6,0,84.83,13,2016-1
2013,Sistemas,13170008,M,8,5,1,74.83,9,2017-0
2013,Sistemas,13170008,M,9,5,2,62.29,6,2017-1
2013,Sistemas,13170008,M,10,3,0,86.33,3,2018-0
2013,Sistemas,13170009,H,1,6,0,85.83,39,2013-1
2013,Sistemas,13170009,H,2,6,0,84.67,33,2014-0
2013,Sistemas,13170009,H,3,3,2,53.40,32,2014-1
2013,Sistemas,13170009,H,4,2,1,57.33,31,2015-0
2013,Sistemas,13170009,H,5,5,0,86.60,26,2015-1
2013,Sistemas,13170009,H,6,5,2,63.57,23,2016-0
2013,Sistemas,13170009,H,7,7,0,88.00,16,2016-1
2013,Sistemas,13170009,H,8,5,2,67.29,13,2017-0
2013,Sistemas,13170009,H,9,3,0,85.67,10,2017-1
2013,Sistemas,13170009,H,10,7,2,67.33,5,2018-0
2013,Sistemas,13170009,H,11,5,0,90.60,0,2018-1
2013,Sistemas,13170010,H,1,6,0,84.50,39,2013-1
2013,Sistemas,13170010,H,2,5,1,75.17,35,2014-0
2013,Sistemas,13170010,H,3,6,1,74.57,30,2014-1
2013,Sistemas,13170010,H,4,6,1,72.00,25,2015-0
2013,Sistemas,13170010,H,5,3,0,91.67,22,2015-1
2013,Sistemas,13170010,H,6,2,0,89.50,20,2016-0
2013,Sistemas,13170010,H,7,6,0,87.00,14,2016-1
2013,Sistemas,13170010,H,8,5,3,56.50,12,2017-0
2013,Sistemas,13170010,H,9,7,0,86.71,5,2017-1
2013,Sistemas,13170010,H,10,5,0,88.40,0,2018-0
2013,Sistemas,13170011,H,1,6,0,84.33,39,2013-1
2013,Sistemas,13170011,H,2,1,0,73.00,38,2014-0
2013,Sistemas,13170011,H,3,5,0,88.60,33,2014-1
2013,Sistemas,13170011,H,4,5,0,85.00,28,2015-0
2013,Sistemas,13170011,H,5,5,0,91.40,23,2015-1
2013,Sistemas,13170011,H,6,5,2,61.29,20,2016-0
2013,Sistemas,13170011,H,7,2,0,94.50,18,2016-1
2013,Sistemas,13170011,H,8,5,1,72.33,14,2017-0
2013,Sistemas,13170011,H,9,5,3,56.50,12,2017-1
2013,Sistemas,13170011,H,10,5,3,54.00,10,2018-0
2013,Sistemas,13170011,H,11,6,1,75.43,5,2018-1
2013,Sistemas,13170011,H,12,5,0,86.40,0,2019-0
2013,Sistemas,13170012,M,1,6,2,66.25,41,2013-1
2013,Sistemas,13170012,M,2,5,0,84.40,36,2014-0
2013,Sistemas,13170013,H,1,6,1,74.00,40,2013-1
2013,Sistemas,13170013,H,2,6,1,72.43,35,2014-0
2013,Sistemas,13170013,H,3,2,3,37.00,36,2014-1
2013,Sistemas,13170013,H,4,6,1,74.29,31,2015-0
2013,Sistemas,13170013,H,5,6,0,91.17,25,2015-1
2013,Sistemas,13170014,H,1,6,2,66.75,41,2013-1
2013,Sistemas,13170014,H,2,4,1,68.00,38,2014-0
2013,Sistemas,13170014,H,3,5,2,62.14,35,2014-1
2013,Sistemas,13170014,H,4,5,0,82.40,30,2015-0
2013,Sistemas,13170015,M,1,6,3,58.44,42,2013-1
2013,Sistemas,13170015,M,2,5,1,73.33,38,2014-0
2013,Sistemas,13170015,M,3,5,0,87.20,33,2014-1
2013,Sistemas,13170015,M,4,5,0,86.60,28,2015-0
2013,Sistemas,13170015,M,5,1,0,88.00,27,2015-1
2013,Sistemas,13170015,M,7,6,1,74.14,24,2016-1
2013,Sistemas,13170015,M,8,4,0,85.00,20,2017-0
2013,Sistemas,13170015,M,9,5,0,86.40,15,2017-1
2013,Sistemas,13170016,H,1,6,1,73.86,40,2013-1
2013,Sistemas,13170016,H,2,7,0,89.00,33,2014-0
2013,Sistemas,13170016,H,3,5,1,69.33,29,2014-1
2013,Sistemas,13170016,H,4,5,2,61.86,26,2015-0
2013,Sistemas,13170016,H,5,5,0,85.80,21,2015-1
2013,Sistemas,13170016,H,6,7,1,76.75,15,2016-0
2013,Sistemas,13170016,H,7,5,0,88.00,10,2016-1
2013,Sistemas,13170016,H,8,5,0,92.20,5,2017-0
2013,Sistemas,13170016,H,9,5,0,89.80,0,2017-1
2013,Sistemas,13170017,H,1,6,0,93.50,39,2013-1
2013,Sistemas,13170017,H,2,5,0,83.40,34,2014-0
2013,Sistemas,13170017,H,3,7,1,73.62,28,2014-1
2013,Sistemas,13170017,H,4,5,2,61.57,25,2015-0
2013,Sistemas,13170017,H,5,7,2,70.11,20,2015-1
2013,Sistemas,13170017,H,6,5,0,86.00,15,2016-0
2013,Sistemas,13170018,H,1,6,0,91.17,39,2013-1
2013,Sistemas,13170018,H,2,6,3,59.56,36,2014-0
2013,Sistemas,13170018,H,3,1,1,43.00,36,2014-1
2013,Sistemas,13170018,H,4,5,2,61.57,33,2015-0
2013,Sistemas,13170018,H,5,5,3,52.25,31,2015-1
2013,Sistemas,13170018,H,6,5,3,55.25,29,2016-0
2013,Sistemas,13170018,H,7,3,0,86.67,26,2016-1
2013,Sistemas,13170018,H,8,5,0,89.40,21,2017-0
2013,Sistemas,13170019,M,1,6,0,88.67,39,2013-1
2013,Sistemas,13170019,M,2,5,1,71.33,35,2014-0
2013,Sistemas,13170019,M,3,5,0,89.80,30,2014-1
2013,Sistemas,13170019,M,4,5,0,90.80,25,2015-0
2013,Sistemas,13170019,M,5,5,1,70.17,21,2015-1
2013,Sistemas,13170019,M,6,3,0,87.33,18,2016-0
2013,Sistemas,13170019,M,7,4,0,85.50,14,2016-1
2013,Sistemas,13170019,M,8,6,1,78.00,9,2017-0
2013,Sistemas,13170020,H,1,6,2,62.38,41,2013-1
2013,Sistemas,13170020,H,2,5,0,90.80,36,2014-0
2013,Sistemas,13170020,H,3,5,1,73.00,32,2014-1
2013,Sistemas,13170020,H,4,3,0,93.33,29,2015-0
2013,Sistemas,13170020,H,5,5,1,73.67,25,2015-1
2013,Sistemas,13170020,H,6,7,0,84.57,18,2016-0
2013,Sistemas,13170020,H,7,6,0,84.67,12,2016-1
2013,Sistemas,13170020,H,8,6,1,78.14,7,2017-0
2013,Sistemas,13170020,H,9,3,2,47.80,6,2017-1
2013,Sistemas,13170020,H,10,3,1,63.75,4,2018-0
2013,Sistemas,13170020,H,11,4,0,83.25,0,2018-1
2013,Sistemas,13170021,H,1,6,0,92.17,39,2013-1
2013,Sistemas,13170021,H,2,6,0,87.17,33,2014-0
2013,Sistemas,13170021,H,3,6,3,58.44,30,2014-1
2013,Sistemas,13170021,H,5,2,2,39.25,30,2015-1
2013,Sistemas,13170021,H,6,5,1,73.00,26,2016-0
2013,Sistemas,13170021,H,7,5,2,62.00,23,2016-1
2013,Sistemas,13170021,H,8,6,2,66.50,19,2017-0
2013,Sistemas,13170021,H,9,6,0,86.83,13,2017-1
2013,Sistemas,13170021,H,10,3,0,87.67,10,2018-0
2013,Sistemas,13170021,H,11,3,0,88.00,7,2018-1
2013,Sistemas,13170021,H,12,3,0,89.00,4,2019-0
2013,Sistemas,13170022,M,1,6,3,56.89,42,2013-1
2013,Sistemas,13170022,M,2,7,0,87.00,35,2014-0
2013,Sistemas,13170022,M,3,8,0,92.75,27,2014-1
2013,Sistemas,13170022,M,4,5,2,65.00,24,2015-0
2013,Sistemas,13170022,M,5,2,0,85.50,22,2015-1
2013,Sistemas,13170022,M,6,5,2,61.71,19,2016-0
2013,Sistemas,13170022,M,7,1,0,80.00,18,2016-1
2013,Sistemas,13170022,M,8,1,2,31.33,19,2017-0
2013,Sistemas,13170022,M,9,6,3,56.56,16,2017-1
2013,Sistemas,13170022,M,10,6,0,86.67,10,2018-0
2013,Sistemas,13170022,M,11,5,2,59.57,7,2018-1
2013,Sistemas,13170022,M,12,6,0,88.67,1,2019-0
2013,Sistemas,13170023,H,1,6,2,68.62,41,2013-1
2013,Sistemas,13170023,H,2,7,0,87.43,34,2014-0
2013,Sistemas,13170023,H,3,6,2,68.88,30,2014-1
2013,Sistemas,13170024,M,1,6,0,87.67,39,2013-1
2013,Sistemas,13170024,M,2,6,1,74.86,34,2014-0
2013,Sistemas,13170024,M,3,5,1,76.00,30,2014-1
2013,Sistemas,13170024,M,4,6,0,85.17,24,2015-0
2013,Sistemas,13170025,H,1,6,0,85.33,39,2013-1
2013,Sistemas,13170025,H,2,5,2,65.14,36,2014-0
2013,Sistemas,13170025,H,3,3,1,62.00,34,2014-1
2013,Sistemas,13170025,H,4,3,2,52.40,33,2015-0
2013,Sistemas,13170025,H,5,7,0,87.14,26,2015-1
2013,Sistemas,13170025,H,6,5,0,91.40,21,2016-0
2013,Sistemas,13170025,H,7,5,2,64.86,18,2016-1
2013,Sistemas,13170025,H,8,5,1,71.83,14,2017-0
2013,Sistemas,13170025,H,9,6,0,88.00,8,2017-1
2013,Sistemas,13170025,H,10,5,1,68.33,4,2018-0
2013,Sistemas,13170025,H,11,4,0,88.25,0,2018-1
2013,Sistemas,13170026,H,1,6,3,58.56,42,2013-1
2013,Sistemas,13170026,H,2,4,1,68.40,39,2014-0
2013,Sistemas,13170026,H,3,6,2,65.38,35,2014-1
2013,Sistemas,13170026,H,4,5,1,72.83,31,2015-0
2013,Sistemas,13170026,H,5,5,1,72.67,27,2015-1
2013,Sistemas,13170026,H,6,7,0,82.57,20,2016-0
2013,Sistemas,13170026,H,7,7,2,66.00,15,2016-1
2013,Sistemas,13170026,H,8,5,0,89.00,10,2017-0
2013,Sistemas,13170026,H,9,6,0,83.17,4,2017-1
2013,Sistemas,13170026,H,10,4,1,67.00,1,2018-0
2013,Sistemas,13170026,H,11,1,2,32.33,2,2018-1
2013,Sistemas,13170027,M,1,6,3,57.00,42,2013-1
2013,Sistemas,13170027,M,2,5,0,88.40,37,2014-0
2013,Sistemas,13170027,M,3,5,1,69.33,33,2014-1
2013,Sistemas,13170028,M,1,6,1,75.29,40,2013-1
2013,Sistemas,13170028,M,2,6,0,84.67,34,2014-0
2013,Sistemas,13170028,M,3,5,0,89.40,29,2014-1
2013,Sistemas,13170028,M,4,5,1,69.83,25,2015-0
2013,Sistemas,13170028,M,5,3,0,87.67,22,2015-1
2013,Sistemas,13170028,M,6,4,2,59.33,20,2016-0
2013,Sistemas,13170028,M,7,5,2,61.86,17,2016-1
2013,Sistemas,13170028,M,8,5,0,89.80,12,2017-0
2013,Sistemas,13170028,M,10,5,1,71.50,8,2018-0
2013,Sistemas,13170029,H,1,6,0,87.50,39,2013-1
2013,Sistemas,13170029,H,2,4,0,87.50,35,2014-0
2013,Sistemas,13170029,H,3,3,1,68.50,33,2014-1
2013,Sistemas,13170029,H,4,1,0,77.00,32,2015-0
2013,Sistemas,13170029,H,5,7,0,88.71,25,2015-1
2013,Sistemas,13170029,H,6,5,0,91.80,20,2016-0
2013,Sistemas,13170029,H,7,5,0,86.40,15,2016-1
2013,Sistemas,13170030,H,1,6,3,59.11,42,2013-1
2013,Sistemas,13170030,H,2,5,0,91.00,37,2014-0
2013,Sistemas,13170030,H,3,5,0,87.60,32,2014-1
2013,Sistemas,13170030,H,4,3,1,66.25,30,2015-0
2013,Sistemas,13170030,H,5,6,2,68.50,26,2015-1
2013,Sistemas,13170030,H,6,5,0,86.80,21,2016-0
2013,Sistemas,13170030,H,7,5,2,63.14,18,2016-1
2013,Sistemas,13170030,H,8,3,3,42.50,18,2017-0
2013,Sistemas,13170030,H,9,6,0,89.17,12,2017-1
2013,Sistemas,13170030,H,10,2,0,91.00,10,2018-0
2013,Sistemas,13170030,H,11,5,0,84.60,5,2018-1
2013,Sistemas,13170030,H,12,5,3,53.38,3,2019-0
2013,Sistemas,13170031,H,1,6,1,75.29,40,2013-1
2013,Sistemas,13170031,H,2,5,0,84.80,35,2014-0
2013,Sistemas,13170031,H,3,5,2,64.29,32,2014-1
2013,Sistemas,13170032,H,1,6,1,74.29,40,2013-1
2013,Sistemas,13170032,H,2,4,1,69.20,37,2014-0
2013,Sistemas,13170032,H,3,3,0,89.00,34,2014-1
2013,Sistemas,13170032,H,4,5,2,62.86,31,2015-0
2013,Sistemas,13170032,H,5,5,0,88.60,26,2015-1
2013,Sistemas,13170032,H,6,5,1,69.67,22,2016-0
2013,Sistemas,13170032,H,7,5,0,91.80,17,2016-1
2013,Sistemas,13170032,H,8,5,1,74.83,13,2017-0
2013,Sistemas,13170032,H,9,5,0,87.40,8,2017-1
2013,Sistemas,13170032,H,10,4,0,86.75,4,2018-0
2013,Sistemas,13170032,H,11,4,1,68.20,1,2018-1
2013,Sistemas,13170032,H,12,1,2,27.33,2,2019-0
2013,Sistemas,13170033,H,1,6,0,86.00,39,2013-1
2013,Sistemas,13170033,H,2,2,0,85.00,37,2014-0
2013,Sistemas,13170033,H,3,5,0,89.00,32,2014-1
2013,Sistemas,13170033,H,4,5,0,88.80,27,2015-0
2013,Sistemas,13170033,H,5,6,3,58.11,24,2015-1
2013,Sistemas,13170033,H,6,5,3,54.62,22,2016-0
2013,Sistemas,13170033,H,7,6,1,75.86,17,2016-1
2013,Sistemas,13170033,H,9,4,0,84.00,15,2017-1
2013,Sistemas,13170033,H,10,5,0,89.20,10,2018-0
2013,Sistemas,13170033,H,11,5,2,61.71,7,2018-1
2013,Sistemas,13170034,H,1,6,0,87.50,39,2013-1
2013,Sistemas,13170034,H,2,3,0,84.67,36,2014-0
2013,Sistemas,13170034,H,3,5,1,77.00,32,2014-1
2013,Sistemas,13170034,H,4,7,0,85.71,25,2015-0
2013,Sistemas,13170034,H,5,3,2,54.60,24,2015-1
2013,Sistemas,13170034,H,6,5,3,52.75,22,2016-0
2013,Sistemas,13170034,H,7,5,2,61.00,19,2016-1
2013,Sistemas,13170034,H,8,5,0,90.40,14,2017-0
2013,Sistemas,13170034,H,9,5,1,73.17,10,2017-1
2013,Sistemas,13170034,H,10,5,0,83.40,5,2018-0
2013,Sistemas,13170034,H,11,5,0,89.40,0,2018-1
2013,Sistemas,13170035,M,1,6,1,76.71,40,2013-1
2013,Sistemas,13170035,M,2,5,0,84.20,35,2014-0
2013,Sistemas,13170035,M,3,5,2,62.00,32,2014-1
2013,Sistemas,13170036,H,1,6,1,71.71,40,2013-1
2013,Sistemas,13170036,H,2,4,1,68.60,37,2014-0
2013,Sistemas,13170036,H,3,5,0,91.40,32,2014-1
2013,Sistemas,13170036,H,4,7,0,90.00,25,2015-0
2013,Sistemas,13170036,H,5,7,0,88.14,18,2015-1
2013,Sistemas,13170036,H,6,5,0,90.80,13,2016-0
2013,Sistemas,13170036,H,7,3,2,55.40,12,2016-1
2013,Sistemas,13170036,H,8,5,3,53.00,10,2017-0
2013,Sistemas,13170036,H,9,6,1,74.71,5,2017-1
2013,Sistemas,13170036,H,10,5,3,55.88,3,2018-0
2013,Sistemas,13170036,H,11,3,0,92.33,0,2018-1
2013,Sistemas,13170037,H,1,6,1,78.29,40,2013-1
2013,Sistemas,13170038,M,1,6,0,88.33,39,2013-1
2013,Sistemas,13170038,M,2,7,2,65.44,34,2014-0
2013,Sistemas,13170038,M,3,3,0,83.33,31,2014-1
2013,Sistemas,13170038,M,4,5,3,54.25,29,2015-0
2013,Sistemas,13170038,M,5,2,1,57.00,28,2015-1
2013,Sistemas,13170038,M,6,5,1,77.83,24,2016-0
2013,Sistemas,13170038,M,7,6,1,71.14,19,2016-1
2013,Sistemas,13170038,M,8,6,0,87.00,13,2017-0
2013,Sistemas,13170038,M,9,3,0,86.67,10,2017-1
2013,Sistemas,13170038,M,10,4,0,84.50,6,2018-0
2013,Sistemas,13170038,M,11,4,1,72.20,3,2018-1
2013,Sistemas,13170038,M,12,3,1,66.25,1,2019-0
2013,Sistemas,13170039,M,1,6,0,90.50,39,2013-1
2013,Sistemas,13170039,M,2,3,1,71.25,37,2014-0
2013,Sistemas,13170039,M,3,5,0,86.80,32,2014-1
2013,Sistemas,13170039,M,4,5,0,86.80,27,2015-0
2013,Sistemas,13170040,H,1,6,0,83.83,39,2013-1
2013,Sistemas,13170041,H,1,6,2,64.88,41,2013-1
2013,Sistemas,13170041,H,2,7,2,70.33,36,2014-0
2013,Sistemas,13170041,H,3,5,1,71.33,32,2014-1
2013,Sistemas,13170041,H,4,4,0,84.25,28,2015-0
2013,Sistemas,13170041,H,5,3,0,83.00,25,2015-1
2013,Sistemas,13170041,H,6,5,0,76.40,20,2016-0
2013,Sistemas,13170042,H,1,6,0,91.83,39,2013-1
2013,Sistemas,13170043,M,1,6,1,72.71,40,2013-1
2013,Sistemas,13170043,M,2,3,1,64.25,38,2014-0
2013,Sistemas,13170043,M,3,7,0,87.71,31,2014-1
2013,Sistemas,13170043,M,4,5,0,87.40,26,2015-0
2013,Sistemas,13170043,M,5,2,1,64.67,25,2015-1
2013,Sistemas,13170043,M,6,3,0,90.00,22,2016-0
2013,Sistemas,13170043,M,7,3,0,85.00,19,2016-1
2013,Sistemas,13170043,M,8,5,0,89.60,14,2017-0
2013,Sistemas,13170043,M,9,3,0,94.67,11,2017-1
2013,Sistemas,13170043,M,10,6,1,76.29,6,2018-0
2013,Sistemas,13170043,M,11,3,2,58.00,5,2018-1
2013,Sistemas,13170043,M,12,5,1,72.67,1,2019-0
2013,Sistemas,13170044,H,1,6,1,77.86,40,2013-1
2013,Sistemas,13170044,H,2,6,2,65.62,36,2014-0
2013,Sistemas,13170044,H,3,5,0,93.00,31,2014-1
2013,Sistemas,13170045,H,1,6,2,69.00,41,2013-1
2013,Sistemas,13170045,H,2,7,0,84.29,34,2014-0
2013,Sistemas,13170046,H,1,6,0,86.50,39,2013-1
2013,Sistemas,13170046,H,2,5,2,61.43,36,2014-0
2013,Sistemas,13170046,H,3,5,2,60.00,33,2014-1
2013,Sistemas,13170046,H,4,5,2,65.57,30,2015-0
2013,Sistemas,13170046,H,6,3,1,65.00,29,2016-0
2013,Sistemas,13170046,H,7,6,0,85.17,23,2016-1
2013,Sistemas,13170046,H,8,8,2,70.30,17,2017-0
2013,Sistemas,13170046,H,9,3,2,50.80,16,2017-1
2013,Sistemas,13170046,H,10,4,1,69.20,13,2018-0
2013,Sistemas,13170046,H,11,5,3,52.62,11,2018-1
2013,Sistemas,13170046,H,12,5,3,55.25,9,2019-0
2013,Sistemas,13170047,H,1,6,0,86.83,39,2013-1
2013,Sistemas,13170048,H,1,6,0,84.67,39,2013-1
2013,Sistemas,13170048,H,2,5,0,84.40,34,2014-0
2013,Sistemas,13170048,H,3,5,0,91.00,29,2014-1
2013,Sistemas,13170048,H,4,4,1,73.20,26,2015-0
2013,Sistemas,13170048,H,5,7,1,75.75,20,2015-1
2013,Sistemas,13170048,H,6,7,0,88.57,13,2016-0
2013,Sistemas,13170048,H,7,4,0,91.50,9,2016-1
2013,Sistemas,13170048,H,8,5,0,92.40,4,2017-0
2013,Sistemas,13170048,H,9,4,0,89.25,0,2017-1
2013,Sistemas,13170049,H,1,6,0,89.83,39,2013-1
2013,Sistemas,13170049,H,2,5,1,73.50,35,2014-0
2013,Sistemas,13170049,H,3,5,3,53.88,33,2014-1
2013,Sistemas,13170049,H,4,5,2,63.71,30,2015-0
2013,Sistemas,13170049,H,5,3,1,62.75,28,2015-1
2013,Sistemas,13170049,H,6,6,0,88.83,22,2016-0
2013,Sistemas,13170049,H,7,3,1,66.00,20,2016-1
2013,Sistemas,13170049,H,8,5,0,88.40,15,2017-0
2013,Sistemas,13170050,H,1,6,1,71.57,40,2013-1
2013,Sistemas,13170050,H,2,5,0,91.40,35,2014-0
2013,Sistemas,13170050,H,3,5,3,54.12,33,2014-1
2013,Sistemas,13170050,H,4,5,2,63.43,30,2015-0
2013,Sistemas,13170051,M,1,6,0,87.17,39,2013-1
2013,Sistemas,13170052,H,1,6,0,87.67,39,2013-1
2013,Sistemas,13170052,H,2,5,2,63.86,36,2014-0
2013,Sistemas,13170052,H,3,5,1,70.83,32,2014-1
2013,Sistemas,13170052,H,4,4,0,88.50,28,2015-0
2013,Sistemas,13170052,H,5,7,1,73.75,22,2015-1
2013,Sistemas,13170052,H,6,6,1,77.86,17,2016-0
2013,Sistemas,13170052,H,7,6,0,81.00,11,2016-1
2013,Sistemas,13170052,H,8,4,2,58.00,9,2017-0
2013,Sistemas,13170052,H,9,6,0,87.17,3,2017-1
2013,Sistemas,13170052,H,10,3,2,47.80,2,2018-0
2013,Sistemas,13170052,H,11,2,0,86.00,0,2018-1
2013,Sistemas,13170053,M,1,6,2,65.00,41,2013-1
2013,Sistemas,13170053,M,2,6,2,67.75,37,2014-0
2013,Sistemas,13170053,M,3,5,1,76.67,33,2014-1
2013,Sistemas,13170053,M,5,6,0,90.83,29,2015-1
2013,Sistemas,13170053,M,6,5,2,63.14,26,2016-0
2013,Sistemas,13170053,M,7,3,0,87.00,23,2016-1
2013,Sistemas,13170054,H,1,6,0,86.33,39,2013-1
2013,Sistemas,13170054,H,2,6,1,72.86,34,2014-0
2013,Sistemas,13170055,H,1,6,1,75.71,40,2013-1
2013,Sistemas,13170055,H,2,4,2,55.00,38,2014-0
2013,Sistemas,13170055,H,3,5,1,74.17,34,2014-1
2013,Sistemas,13170055,H,4,3,2,51.60,33,2015-0
2013,Sistemas,13170055,H,5,5,2,64.71,30,2015-1
2013,Sistemas,13170055,H,6,5,2,64.86,27,2016-0
2013,Sistemas,13170055,H,7,5,2,60.14,24,2016-1
2013,Sistemas,13170055,H,8,6,2,65.25,20,2017-0
2013,Sistemas,13170055,H,9,6,0,88.33,14,2017-1
2013,Sistemas,13170055,H,10,5,1,72.67,10,2018-0
2013,Sistemas,13170055,H,11,8,2,71.00,4,2018-1
2013,Sistemas,13170055,H,12,4,0,88.50,0,2019-0
2013,Sistemas,13170056,H,1,6,0,91.33,39,2013-1
2013,Sistemas,13170056,H,2,5,0,85.40,34,2014-0
2013,Sistemas,13170056,H,3,7,0,86.00,27,2014-1
2013,Sistemas,13170057,H,1,6,1,74.43,40,2013-1
2013,Sistemas,13170057,H,2,5,0,86.60,35,2014-0
2013,Sistemas,13170058,M,1,6,0,91.17,39,2013-1
2013,Sistemas,13170058,M,2,1,0,82.00,38,2014-0
2013,Sistemas,13170058,M,3,6,3,57.44,35,2014-1
2013,Sistemas,13170058,M,4,3,2,53.40,34,2015-0
2013,Sistemas,13170058,M,5,5,0,89.20,29,2015-1
2013,Sistemas,13170058,M,6,5,1,73.83,25,2016-0
2013,Sistemas,13170059,H,1,6,0,84.33,39,2013-1
2013,Sistemas,13170059,H,2,6,2,65.50,35,2014-0
2013,Sistemas,13170060,H,1,6,1,75.14,40,2013-1
2013,Sistemas,13170060,H,2,5,0,83.80,35,2014-0
2013,Sistemas,13170060,H,3,5,2,64.14,32,2014-1
2013,Sistemas,13170060,H,4,6,2,63.62,28,2015-0
2013,Sistemas,13170060,H,5,5,2,64.57,25,2015-1
2013,Sistemas,13170060,H,6,5,0,85.40,20,2016-0
2013,Sistemas,13170060,H,8,5,3,54.62,19,2017-0
2013,Sistemas,13170060,H,9,5,2,62.43,16,2017-1
2013,Sistemas,13170060,H,10,5,1,74.67,12,2018-0
2013,Sistemas,13170060,H,11,2,1,57.00,11,2018-1
2013,Sistemas,13170060,H,12,8,3,66.91,6,2019-0
2013,Sistemas,13170061,H,1,6,1,70.43,40,2013-1
2013,Sistemas,13170061,H,2,3,1,63.25,38,2014-0
2013,Sistemas,13170061,H,3,6,0,83.33,32,2014-1
2013,Sistemas,13170061,H,4,5,1,71.50,28,2015-0
2013,Sistemas,13170061,H,5,5,1,75.67,24,2015-1
2013,Sistemas,13170061,H,6,5,0,89.60,19,2016-0
2013,Sistemas,13170061,H,7,6,3,57.89,16,2016-1
2013,Sistemas,13170062,H,1,6,0,90.33,39,2013-1
2013,Sistemas,13170062,H,2,5,2,61.14,36,2014-0
2013,Sistemas,13170062,H,3,5,0,87.20,31,2014-1
2013,Sistemas,13170062,H,4,5,2,67.14,28,2015-0
2013,Sistemas,13170062,H,5,6,0,88.17,22,2015-1
2013,Sistemas,13170062,H,6,5,0,85.20,17,2016-0
2013,Sistemas,13170062,H,7,6,1,75.71,12,2016-1
2013,Sistemas,13170062,H,8,6,3,59.33,9,2017-0
2013,Sistemas,13170062,H,9,5,0,90.80,4,2017-1
